Core,ListA,ListB,ListC
ENGL 102,ENGL 230A,ENGL 225,ASL 110
ENGL 103,ENGL 230B,ENGL 228,ASL 111
ENGL 110,ENGL 246A,ENGL 232,ASL 210
,ENGL 246B,ENGL 233,ASL 211
,ENGL 248A,ENGL 234,ASL 220
,ENGL 248B,ENGL 235,CHIN 101
,,ENGL 240,CHIN 102
,,ENGL 245,CHIN 201
,,ENGL 230A,CHIN 202
,,ENGL 230B,CHIN 260
,,ENGL 246A,COMM 140
,,ENGL 246B,COMM 145
,,ENGL 248A,ENGL 106
,,ENGL 248B,ENGL 221A
,,,ENGL 221B
,,,ENGL 222
,,,ENGL 223
,,,ENGL 224
,,,ENGL 226
,,,ENGL 227
,,,ENGL 231
,,,ENGL 236
,,,ENGL 237
,,,ENGL 239
,,,ENGL 241
,,,ENGL 242
,,,ENGL 243
,,,ENGL 244
,,,ENGL 247
,,,ENGL 249
,,,FILM 241
,,,FREN 101
,,,FREN 102
,,,FREN 201
,,,FREN 202
,,,FREN 203
,,,FREN 282
,,,FREN 283
,,,FREN 285
,,,GERM 101
,,,GERM 102
,,,GERM 201
,,,GERM 202
,,,JAPN 101
,,,JAPN 102
,,,JAPN 201
,,,JAPN 202
,,,SPAN 101
,,,SPAN 102
,,,SPAN 111
,,,SPAN 112
,,,SPAN 201
,,,SPAN 202
,,,SPAN 210
,,,SPAN 245
,,,SPAN 260
,,,SPAN 285
,,,JOUR 100
,,,JOUR 101
,,,HUM 100
,,,TH 101
